"ID","calle_colonia","delegacion","cp","tipo","precio","moneda","lat","lon","AREA_CONSTRUIDA","RECAMARAS","BANOS","No_de_pisos","Edad_inmueble","Jardin","Cisterna","Seguridad privada","Zona privada","Alberca","Lavandería","Terraza","Gimnasio","Cuarto de servicio","Chimenea","Sótano","Aire acondicionado","Elevador","Urbanizado"
28534758,"Av. Pdte. Plutarco Elías Calles","Iztacalco",8400,"Departamento","2,409,000 ","MXN",19.3973842,-99.1014971,48,2,1,1,3,"0","0","1","0","0","0","0","0","0","0","0","0","1","0"
28826676,"Av Refinería","Azcapotzalco",2140,"Departamento","2,435,000 ","MXN",19.4924678,-99.1918086,65,2,2,1,1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
26974570,"Av. Revolución #1014","Benito Juárez",3900,"Departamento","5,365,000 ","MXN",19.3699788,-99.1881409,83,2,2,2,1,"0","0","0","0","0","0","0","0","0","0","0","0","1","0"
27970188,"Av. Revolución","Benito Juárez",3900,"Departamento","5,260,000 ","MXN",19.3650779,-99.1886518,112,3,2,1,17,"0","0","1","0","0","0","0","0","0","0","0","0","1","0"
28660389,"Av Toluca 1000","Álvaro Obregón",1170,"Departamento","4,500,000 ","MXN",19.3891663,-99.2072126,96,2,2,1,7,"0","0","1","0","0","0","0","1","0","0","0","0","0","0"
27780598,"Av Wilfrido Massieu 326 #326","Gustavo A. Madero",7739,"Departamento","4,650,000 ","MXN",19.4969567,-99.1428174,150,3,2,4,20,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
28215693,"Avenida Coyoacan 1129 #1129","Benito Juárez",3100,"Departamento","4,491,290 ","MXN",19.3772451,-99.169755,71,2,2,1,1,"0","1","0","1","0","0","0","0","0","0","0","0","1","0"
28587402,"Avenida de la Industria 82 #82","Venustiano Carranza",15530,"Departamento","2,020,000 ","MXN",19.4351639,-99.1032271,56,2,1,6,9,"0","1","0","1","0","1","0","0","0","0","0","0","0","0"
28783398,"Avenida de las Torres 805 #805","Álvaro Obregón",1840,"Departamento","4,380,000 ","MXN",19.3341422,-99.2397341,100,2,2,1,8,"1","1","0","1","1","0","0","1","0","0","0","0","1","0"
28661559,"Avenida Insurgentes Sur 2300","Álvaro Obregón",1090,"Departamento","5,200,000 ","MXN",19.3376147,-99.194878,74,2,2,1,5,"0","0","0","0","1","0","0","0","0","0","0","0","0","0"
