"ID","precio","tipo","AREA_CONST","RECAMARAS","BANOS","No_de_piso","Edad_inmue","Jardin","Cisterna","Seguridad","Zona.priva","Alberca","Lavanderí","Terraza","Gimnasio","Cuarto.de","Chimenea","Sótano","Aire.acond","Elevador","Urbanizado","CPV_Prop_e","CPV_Prop_a","CPV_Prop_d","CPV_Prop_s","Distance","I_A","tipo_vivienda"
28543049,2193000,"Departamento",64,2,1,1,7,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.9345794393,0.9345794393,0.9345794393,0.9345794393,10775.17825,0.5,1
28546783,16600000,"Departamento",350,3,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5517241379,0.5517241379,0.5517241379,0.5517241379,7713.169176,0.5,1
28811574,8850000,"Departamento",120,2,2,1,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.5517241379,0.5517241379,0.5517241379,0.5517241379,7711.136871,0.5,1
28566971,9900000,"Departamento",190,2,2,1,8,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,12006.20767,0.6,1
28822249,11050000,"Departamento",305,4,3,1,23,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0.7903225806,0.7580645161,0.7903225806,0.7903225806,11722.47528,0.5,1
28822249,11050000,"Departamento",305,4,3,1,23,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0.9630681818,0.9488636364,0.9602272727,0.9517045455,11722.47528,0.5,1
28534056,4500000,"Departamento",60,2,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.901734104,0.901734104,0.901734104,0.901734104,4569.831957,1,1
28136474,9345000,"Departamento",165,2,2,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.7851851852,0.7851851852,0.7851851852,0.7851851852,1993.015911,1,1
28832029,8976790,"Departamento",172,2,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.9534883721,0.9534883721,0.9534883721,0.9534883721,1853.071801,1,1
28635481,5200000,"Departamento",132,2,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.9736842105,0.9473684211,0.9736842105,0.9736842105,6984.220901,1,1
27872291,5550000,"Departamento",106,3,2,1,5,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0.5377643505,0.5196374622,0.5377643505,0.5377643505,13742.76659,0.5,1
24668493,2174848,"Departamento",47,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.8516129032,0.8516129032,0.8516129032,0.8516129032,7767.428112,1,1
27098264,1850000,"Departamento",60,2,1,4,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9285714286,0.9285714286,0.9285714286,0.9285714286,13782.42612,1,1
28488016,4450000,"Departamento",100,3,2,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.9903846154,0.9903846154,0.9903846154,0.9903846154,11335.44901,0.6,1
28762803,4959666,"Departamento",69,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734375,0.734375,0.734375,0.734375,7204.33786,1,1
28148926,35000000,"Departamento",423,3,3,1,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0.9642857143,0.95,0.9571428571,0.95,10676.78061,0.5,1
28661123,12500000,"Departamento",244,2,2,1,50,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0.9294117647,0.9294117647,0.9294117647,0.9294117647,14259.71891,0.5,1
28593742,3700000,"Departamento",65,2,2,1,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.8495575221,0.8259587021,0.8495575221,0.8436578171,10622.61855,0.6,1
28686940,1708600,"Departamento",40,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9724770642,0.9724770642,0.9724770642,0.9724770642,3508.768375,1,1
28686943,1688800,"Departamento",39,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9724770642,0.9724770642,0.9724770642,0.9724770642,3508.768375,1,1
26997184,8350000,"Departamento",122,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9064327485,0.9064327485,0.9064327485,0.9064327485,3601.915525,0.7,1
27923502,7400000,"Departamento",122,3,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9064327485,0.9064327485,0.9064327485,0.9064327485,3601.915525,0.7,1
28723950,3000000,"Departamento",60,2,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9333333333,0.9333333333,0.9333333333,0.9333333333,10629.91712,0.9,1
28659297,12500000,"Departamento",231,3,3,1,15,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.9145299145,0.9145299145,0.9145299145,0.9145299145,10373.64258,1,1
28660151,5990000,"Departamento",86,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6019417476,0.6019417476,0.6019417476,0.6019417476,399.9342925,1,1
28660725,4500000,"Departamento",100,2,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6019417476,0.6019417476,0.6019417476,0.6019417476,399.9342925,1,1
